"Curso","Ordem de prioridade do curso","Nota da qualificacao anterior","Nota de admissao","Deslocado","Necessidades educacionais especiais","Devedor","Genero","Bolsista","Idade na inscricao","Internacional","Materias do primeiro semestre aprovadas","Media das notas do primeiro semestre","Resultado"
"Social Service",1,151,144.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,15.375,"Graduado"
"Veterinary Nursing",1,140,143.3,"Sim","Nao","Nao","Mulher","Nao",23,"Nao",9,13.6666666666667,"Matriculado"
"Nursing",1,133.1,100,"Nao","Nao","Nao","Mulher","Nao",24,"Nao",7,12.6142857142857,"Graduado"
"Social Service",1,130,126.3,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",5,12.2,"Graduado"
"Journalism and Communication",1,125,115.9,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",4,11.75,"Graduado"
"Social Service",4,125,114.9,"Sim","Nao","Sim","Mulher","Sim",19,"Nao",5,11.4,"Matriculado"
"Social Service",1,135,121,"Nao","Nao","Sim","Mulher","Nao",18,"Nao",5,10.6,"Matriculado"
"Social Service (Noturno)",1,121,112.3,"Nao","Nao","Nao","Mulher","Nao",22,"Nao",13,10.9230769230769,"Graduado"
"Communication Design",1,141,127,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",5,12.4,"Graduado"
"Agronomy",1,130,120,"Nao","Nao","Nao","Mulher","Nao",25,"Nao",0,0,"Desistente"
"Agronomy",1,180,180,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",6,15.8333333333333,"Graduado"
"Nursing",1,117,117.4,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,11.8,"Matriculado"
"Journalism and Communication",4,127,115.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.5714285714286,"Graduado"
"Advertising and Marketing Management",3,126,136.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",3,12,"Graduado"
"Nursing",3,143,129,"Sim","Nao","Nao","Homem","Nao",19,"Nao",7,13.3625,"Graduado"
"Veterinary Nursing",1,144,137.6,"Sim","Nao","Nao","Mulher","Sim",19,"Sim",5,15.4,"Graduado"
"Journalism and Communication",2,126,129.5,"Sim","Nao","Sim","Mulher","Nao",18,"Nao",5,12.2,"Desistente"
"Social Service",1,140,129.1,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",11,12.8181818181818,"Graduado"
"Nursing",5,148,130.2,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Nursing",1,100,134.3,"Sim","Nao","Nao","Mulher","Nao",28,"Nao",17,13.3947368421053,"Graduado"
"Social Service",1,151,138.4,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,14.25,"Graduado"
"Social Service (Noturno)",1,120,120,"Sim","Nao","Nao","Mulher","Nao",30,"Nao",9,13.4444444444444,"Desistente"
"Nursing",4,135,123.5,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",7,12.2857142857143,"Graduado"
"Communication Design",2,121,116.1,"Sim","Nao","Nao","Mulher","Nao",22,"Nao",6,11.6666666666667,"Graduado"
"Tourism",1,116,110.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.1666666666667,"Graduado"
"Basic Education",1,147,142.8,"Sim","Nao","Nao","Mulher","Nao",23,"Nao",2,10,"Desistente"
"Communication Design",4,160,155.5,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,14,"Graduado"
"Basic Education",1,133,126.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",5,11.8333333333333,"Matriculado"
"Journalism and Communication",1,100,163.5,"Nao","Nao","Sim","Homem","Nao",50,"Nao",1,15,"Desistente"
"Animation and Multimedia Design",1,151,161.9,"Sim","Nao","Nao","Mulher","Sim",19,"Sim",0,0,"Graduado"
"Tourism",2,124,123.3,"Sim","Nao","Nao","Mulher","Nao",22,"Sim",6,10.8333333333333,"Graduado"
"Social Service",1,140,137.5,"Nao","Nao","Sim","Mulher","Sim",23,"Sim",6,13.1428571428571,"Graduado"
"Veterinary Nursing",4,170,166.6,"Nao","Nao","Sim","Mulher","Sim",20,"Nao",5,14.4,"Desistente"
"Social Service",1,133.1,103.5,"Nao","Nao","Nao","Mulher","Nao",44,"Nao",0,0,"Desistente"
"Agronomy",1,133.1,110,"Nao","Nao","Nao","Homem","Nao",49,"Nao",7,12,"Graduado"
"Management (Noturno)",1,100,128.2,"Nao","Nao","Nao","Homem","Nao",46,"Nao",9,12.2,"Graduado"
"Veterinary Nursing",1,120,137.7,"Sim","Nao","Nao","Homem","Nao",41,"Nao",3,12.3333333333333,"Desistente"
"Nursing",3,133,128.8,"Sim","Nao","Nao","Homem","Nao",18,"Nao",7,11.8375,"Graduado"
"Management (Noturno)",1,120,170,"Nao","Nao","Nao","Homem","Nao",43,"Nao",5,11.8,"Graduado"
"Management",2,133.1,116.4,"Nao","Nao","Sim","Homem","Nao",70,"Nao",0,0,"Desistente"
"Equinculture",1,133.1,100.9,"Nao","Nao","Nao","Homem","Nao",48,"Nao",0,0,"Desistente"
"Agronomy",1,133.1,136,"Nao","Nao","Nao","Homem","Nao",41,"Nao",19,12.6842105263158,"Graduado"
"Tourism",1,140,130,"Nao","Nao","Nao","Homem","Nao",21,"Nao",6,12.5714285714286,"Matriculado"
"Biofuel Production Technologies",1,100,100,"Nao","Nao","Sim","Homem","Nao",35,"Sim",3,11.25,"Desistente"
"Equinculture",1,133.1,157,"Sim","Nao","Nao","Homem","Nao",44,"Nao",4,14,"Graduado"
"Management",1,143,152.1,"Sim","Nao","Sim","Homem","Nao",18,"Nao",4,13.3333333333333,"Desistente"
"Social Service (Noturno)",1,165,162.9,"Sim","Nao","Nao","Homem","Nao",45,"Nao",6,13.6666666666667,"Graduado"
"Tourism",1,154,137.2,"Nao","Nao","Nao","Homem","Nao",20,"Nao",3,10,"Matriculado"
"Agronomy",1,140,140,"Sim","Nao","Nao","Homem","Nao",22,"Nao",5,12.6,"Graduado"
"Informatics Engineering",1,140,146.5,"Nao","Nao","Nao","Homem","Nao",39,"Nao",3,17.3333333333333,"Desistente"
"Veterinary Nursing",1,130,130,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,13.2,"Matriculado"
"Management",1,133.1,128,"Nao","Nao","Nao","Homem","Nao",49,"Nao",3,14,"Desistente"
"Oral Hygiene",1,190,190,"Sim","Nao","Nao","Homem","Nao",43,"Nao",4,13.875,"Desistente"
"Management (Noturno)",1,120,133.2,"Sim","Nao","Nao","Homem","Nao",32,"Nao",0,0,"Desistente"
"Social Service",1,100,124.3,"Nao","Nao","Nao","Homem","Nao",47,"Nao",9,13.1111111111111,"Graduado"
"Management (Noturno)",1,120,138.1,"Nao","Nao","Nao","Homem","Sim",37,"Nao",5,13,"Desistente"
"Social Service (Noturno)",1,133.1,144.3,"Nao","Nao","Nao","Homem","Nao",41,"Nao",10,12.5,"Graduado"
"Agronomy",1,150,140,"Nao","Nao","Nao","Homem","Nao",60,"Nao",18,14.1111111111111,"Graduado"
"Tourism",1,120,148.3,"Nao","Nao","Nao","Homem","Nao",47,"Nao",11,14.7272727272727,"Graduado"
"Social Service (Noturno)",1,133.1,96,"Nao","Nao","Sim","Homem","Nao",50,"Nao",0,0,"Desistente"
"Management (Noturno)",1,133.1,121.7,"Sim","Nao","Nao","Homem","Nao",45,"Nao",0,0,"Desistente"
"Informatics Engineering",1,100,160,"Nao","Nao","Sim","Homem","Nao",45,"Nao",0,0,"Desistente"
"Veterinary Nursing",1,133.1,110.3,"Nao","Nao","Nao","Homem","Nao",33,"Nao",4,13.5,"Graduado"
"Nursing",1,143,129,"Nao","Nao","Nao","Homem","Nao",18,"Nao",7,13.1057142857143,"Graduado"
"Veterinary Nursing",1,120,150,"Nao","Nao","Nao","Homem","Nao",43,"Nao",5,13.5,"Graduado"
"Social Service (Noturno)",1,161,100,"Nao","Nao","Nao","Homem","Nao",44,"Nao",13,11.8461538461538,"Graduado"
"Equinculture",1,133.1,107.5,"Nao","Nao","Nao","Homem","Nao",29,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,140,170,"Nao","Nao","Sim","Homem","Nao",53,"Nao",3,14.3333333333333,"Desistente"
"Management (Noturno)",1,123,123,"Nao","Nao","Nao","Homem","Nao",37,"Nao",5,15.8,"Matriculado"
"Advertising and Marketing Management",1,142,138.5,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,13.8,"Matriculado"
"Biofuel Production Technologies",1,133.1,140,"Nao","Nao","Sim","Homem","Nao",35,"Nao",6,12.6666666666667,"Desistente"
"Tourism",1,115,113.6,"Nao","Nao","Nao","Homem","Nao",23,"Nao",6,13,"Matriculado"
"Animation and Multimedia Design",1,156,170,"Sim","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Graduado"
"Social Service (Noturno)",1,140,115.5,"Nao","Nao","Nao","Homem","Nao",33,"Nao",1,11,"Desistente"
"Equinculture",3,130,130,"Nao","Nao","Nao","Homem","Nao",41,"Nao",0,0,"Desistente"
"Nursing",1,140,140,"Nao","Nao","Nao","Homem","Nao",51,"Nao",7,15.2,"Graduado"
"Advertising and Marketing Management",1,140,126.6,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,14.4285714285714,"Graduado"
"Management (Noturno)",1,133.1,143.2,"Nao","Nao","Nao","Homem","Nao",35,"Nao",0,0,"Desistente"
"Animation and Multimedia Design",2,131,131.4,"Sim","Nao","Nao","Homem","Nao",20,"Sim",0,0,"Graduado"
"Advertising and Marketing Management",1,141,133.3,"Sim","Nao","Nao","Homem","Nao",18,"Nao",4,13.75,"Matriculado"
"Journalism and Communication",1,120,118.3,"Nao","Nao","Sim","Homem","Sim",18,"Nao",5,12.1666666666667,"Desistente"
"Agronomy",1,140,140,"Nao","Nao","Nao","Homem","Nao",21,"Nao",5,12.1428571428571,"Graduado"
"Tourism",1,132,124.7,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,12,"Graduado"
"Management",2,130,140,"Nao","Nao","Nao","Homem","Nao",34,"Nao",3,11.6666666666667,"Graduado"
"Equinculture",1,140,150,"Sim","Nao","Nao","Homem","Nao",34,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",2,110,115.6,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,11.875,"Graduado"
"Journalism and Communication",1,140,116.9,"Nao","Nao","Nao","Homem","Nao",32,"Nao",7,11.2857142857143,"Matriculado"
"Tourism",2,130,123.4,"Sim","Nao","Nao","Homem","Nao",30,"Nao",2,10,"Desistente"
"Animation and Multimedia Design",1,137,146.5,"Sim","Nao","Sim","Homem","Nao",19,"Nao",11,12,"Matriculado"
"Journalism and Communication",1,158,117.1,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,13.8333333333333,"Desistente"
"Communication Design",1,124,113.9,"Sim","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Desistente"
"Tourism",1,136,128.7,"Nao","Nao","Nao","Homem","Nao",19,"Nao",6,14.4285714285714,"Graduado"
"Nursing",3,142,132.9,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,14.2,"Desistente"
"Management (Noturno)",1,150,123,"Nao","Nao","Nao","Homem","Nao",27,"Nao",4,11.5,"Desistente"
"Journalism and Communication",1,120,129.8,"Sim","Nao","Nao","Homem","Nao",52,"Nao",5,13,"Graduado"
"Agronomy",1,149,156.1,"Sim","Nao","Nao","Homem","Nao",29,"Nao",0,0,"Desistente"
"Agronomy",1,130,120,"Sim","Nao","Sim","Homem","Nao",22,"Nao",3,11.3333333333333,"Desistente"
"Veterinary Nursing",1,110,117.2,"Sim","Nao","Nao","Homem","Nao",28,"Sim",18,12.5,"Graduado"
"Advertising and Marketing Management",1,133.1,107,"Sim","Nao","Nao","Homem","Nao",30,"Nao",0,0,"Desistente"
"Nursing",2,134,128.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,13.4714285714286,"Graduado"
"Advertising and Marketing Management",2,130,123.4,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",4,11.75,"Graduado"
"Communication Design",1,141,126.7,"Sim","Nao","Sim","Mulher","Sim",20,"Nao",6,13.3333333333333,"Graduado"
"Nursing",1,123,123,"Sim","Nao","Nao","Mulher","Sim",21,"Nao",8,13.105,"Graduado"
"Management (Noturno)",1,133.1,137.2,"Nao","Nao","Sim","Mulher","Nao",32,"Nao",0,0,"Desistente"
"Communication Design",3,122,125.9,"Sim","Nao","Nao","Homem","Sim",20,"Nao",6,15.5,"Graduado"
"Animation and Multimedia Design",4,132,138,"Sim","Nao","Sim","Homem","Nao",19,"Nao",0,0,"Desistente"
"Advertising and Marketing Management",1,133.1,128.2,"Nao","Nao","Sim","Homem","Nao",18,"Sim",4,11.25,"Desistente"
"Management (Noturno)",1,130,126.5,"Sim","Nao","Nao","Homem","Nao",23,"Nao",12,11,"Desistente"
"Tourism",1,111,112.4,"Sim","Nao","Nao","Homem","Nao",20,"Nao",6,12.3333333333333,"Graduado"
"Management",2,133.1,109,"Sim","Nao","Nao","Mulher","Nao",46,"Nao",8,11.375,"Graduado"
"Agronomy",1,125,100,"Nao","Nao","Nao","Homem","Nao",27,"Nao",18,12.2222222222222,"Graduado"
"Animation and Multimedia Design",1,137,144.7,"Sim","Nao","Nao","Homem","Nao",20,"Nao",0,0,"Matriculado"
"Social Service (Noturno)",3,100,120,"Sim","Nao","Nao","Homem","Nao",41,"Nao",9,12,"Graduado"
"Management",1,133.1,100,"Nao","Nao","Sim","Homem","Nao",40,"Sim",1,11,"Matriculado"
"Social Service (Noturno)",1,150,154,"Nao","Nao","Nao","Homem","Nao",37,"Nao",16,14.125,"Graduado"
"Management",4,120,111.3,"Nao","Nao","Nao","Homem","Nao",20,"Nao",5,10.2,"Matriculado"
"Equinculture",1,150,150,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",4,12,"Matriculado"
"Management (Noturno)",1,133.1,100,"Nao","Nao","Nao","Mulher","Nao",26,"Nao",9,12.3333333333333,"Graduado"
"Social Service (Noturno)",1,133.1,162.5,"Nao","Nao","Nao","Homem","Nao",54,"Nao",9,14.3333333333333,"Graduado"
"Advertising and Marketing Management",5,132,134.1,"Sim","Nao","Nao","Homem","Nao",21,"Nao",6,15.1666666666667,"Graduado"
"Veterinary Nursing",1,134,133,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,15.1428571428571,"Graduado"
"Journalism and Communication",6,126,119,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",0,0,"Desistente"
"Nursing",3,136,131.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,13.4114285714286,"Matriculado"
"Social Service",2,129,129.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.3333333333333,"Graduado"
"Veterinary Nursing",1,126,123.9,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",4,11.8,"Matriculado"
"Veterinary Nursing",1,140,140,"Sim","Nao","Sim","Mulher","Nao",22,"Nao",6,12,"Desistente"
"Veterinary Nursing",1,162,162,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",6,15,"Graduado"
"Animation and Multimedia Design",1,148,131.6,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",8,13.875,"Desistente"
"Basic Education",1,119,110.6,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",6,11.8333333333333,"Matriculado"
"Journalism and Communication",3,123,117.4,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,12.5,"Graduado"
"Journalism and Communication",1,150,137.8,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,15,"Graduado"
"Advertising and Marketing Management",1,113,106.7,"Sim","Nao","Sim","Mulher","Nao",20,"Nao",2,11.6666666666667,"Desistente"
"Nursing",1,152,156.9,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",7,14.668,"Graduado"
"Nursing",3,154,129,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.345,"Matriculado"
"Journalism and Communication",2,130,124.8,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",5,12.8,"Graduado"
"Social Service",1,121,115.1,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",6,10.8333333333333,"Graduado"
"Communication Design",1,153,146.7,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,13.6666666666667,"Graduado"
"Nursing",1,148,132.8,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",7,14.5371428571429,"Graduado"
"Veterinary Nursing",3,143,159.1,"Nao","Nao","Sim","Mulher","Sim",18,"Nao",5,14.4,"Desistente"
"Animation and Multimedia Design",3,147,137.6,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",0,0,"Graduado"
"Journalism and Communication",1,138,124,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,13.1666666666667,"Graduado"
"Nursing",1,120,149,"Nao","Nao","Nao","Homem","Nao",36,"Nao",2,11.5,"Desistente"
"Social Service",1,145,129.6,"Nao","Nao","Nao","Mulher","Sim",19,"Nao",6,11.3333333333333,"Graduado"
"Social Service",3,118,110,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12,"Graduado"
"Journalism and Communication",3,121,116.1,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",6,13.1666666666667,"Graduado"
"Journalism and Communication",3,135,133.3,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,14.8333333333333,"Graduado"
"Communication Design",1,140,144.3,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",7,13,"Graduado"
"Nursing",3,145,133.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,13.0871428571429,"Graduado"
"Equinculture",1,133,123.2,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",6,13.3333333333333,"Graduado"
"Basic Education",1,127,137.2,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,12.1666666666667,"Matriculado"
"Communication Design",1,130,130,"Sim","Nao","Nao","Mulher","Sim",22,"Nao",6,11,"Matriculado"
"Social Service",2,117,110,"Sim","Nao","Sim","Mulher","Nao",18,"Nao",0,0,"Desistente"
"Management",4,125,118,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",5,13.6,"Graduado"
"Journalism and Communication",1,141,128.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,15.5,"Graduado"
"Basic Education",3,122,113.6,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",7,13.8571428571429,"Graduado"
"Management",2,118,113.5,"Sim","Nao","Sim","Mulher","Nao",20,"Nao",2,11.5,"Matriculado"
"Communication Design",3,142,146.9,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,13,"Graduado"
"Equinculture",1,143,141.3,"Nao","Nao","Sim","Mulher","Nao",23,"Nao",6,14,"Matriculado"
"Journalism and Communication",4,143,129.7,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",0,0,"Desistente"
"Communication Design",5,123,121.3,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,11.1666666666667,"Matriculado"
"Social Service",1,115,109.1,"Sim","Nao","Sim","Mulher","Sim",22,"Nao",0,0,"Desistente"
"Basic Education",2,112,107.1,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",7,12.1428571428571,"Graduado"
"Nursing",1,135,129.2,"Nao","Nao","Nao","Mulher","Sim",18,"Nao",7,14.1457142857143,"Graduado"
"Nursing",1,162,154.1,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",7,14.45,"Graduado"
"Basic Education",1,143,147.2,"Nao","Nao","Nao","Mulher","Nao",18,"Nao",7,15.7142857142857,"Graduado"
"Management",1,130,120,"Nao","Nao","Nao","Mulher","Nao",21,"Nao",5,12.8,"Matriculado"
"Communication Design",1,136,130.8,"Nao","Nao","Nao","Mulher","Nao",20,"Nao",6,12.5,"Matriculado"
"Communication Design",1,125,120.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,14.5,"Graduado"
"Nursing",2,132,125.4,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",7,13.4628571428571,"Matriculado"
"Social Service (Noturno)",1,123,121.3,"Sim","Nao","Nao","Mulher","Nao",25,"Nao",6,12.8333333333333,"Graduado"
"Management",1,142,127,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",5,12,"Graduado"
"Animation and Multimedia Design",3,147,151.6,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Graduado"
"Veterinary Nursing",1,140,131.6,"Sim","Nao","Nao","Mulher","Nao",20,"Sim",6,14.7142857142857,"Matriculado"
"Social Service",2,133.1,106,"Sim","Nao","Nao","Mulher","Sim",20,"Nao",6,12.5714285714286,"Graduado"
"Journalism and Communication",4,114,111.6,"Sim","Nao","Nao","Mulher","Sim",21,"Nao",6,12.5,"Graduado"
"Advertising and Marketing Management",3,125,117.3,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,14,"Graduado"
"Basic Education",1,127,121.4,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",7,11.5714285714286,"Desistente"
"Communication Design",3,132,126.1,"Sim","Nao","Nao","Mulher","Sim",18,"Nao",6,15.8333333333333,"Graduado"
"Nursing",4,148,137,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",8,14.25,"Graduado"
"Advertising and Marketing Management",1,139,120.8,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",0,0,"Desistente"
"Tourism",1,136,128.7,"Sim","Nao","Nao","Mulher","Nao",20,"Nao",6,11.6666666666667,"Desistente"
"Social Service",1,133.1,118,"Nao","Nao","Nao","Mulher","Nao",47,"Nao",0,0,"Desistente"
"Equinculture",1,120,120,"Nao","Nao","Sim","Mulher","Nao",21,"Sim",5,13.2,"Matriculado"
"Equinculture",1,130,160,"Nao","Nao","Nao","Homem","Nao",31,"Nao",2,12,"Desistente"
"Informatics Engineering",1,110,150,"Sim","Nao","Nao","Homem","Nao",46,"Nao",0,0,"Desistente"
"Informatics Engineering",3,133,121.8,"Sim","Nao","Nao","Homem","Nao",18,"Nao",4,12,"Matriculado"
"Informatics Engineering",3,138,125.4,"Sim","Sim","Nao","Homem","Nao",19,"Nao",3,13.3333333333333,"Desistente"
"Oral Hygiene",1,131,126.6,"Sim","Nao","Nao","Homem","Nao",23,"Nao",5,12.4142857142857,"Matriculado"
"Equinculture",1,150,150,"Nao","Nao","Nao","Homem","Nao",22,"Nao",0,0,"Desistente"
"Management",1,125,114.5,"Sim","Nao","Nao","Homem","Nao",19,"Nao",5,13.8,"Graduado"
"Management",1,108,107,"Nao","Nao","Sim","Mulher","Nao",19,"Sim",0,0,"Desistente"
"Management",1,116,115.7,"Nao","Nao","Nao","Homem","Nao",22,"Nao",4,11.5,"Matriculado"
"Equinculture",1,133.1,120,"Nao","Nao","Sim","Homem","Nao",29,"Nao",0,0,"Desistente"
"Nursing",3,147,134.8,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",6,14.0166666666667,"Graduado"
"Social Service",1,143,133.6,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",5,11.4,"Graduado"
"Animation and Multimedia Design",1,115,129,"Sim","Nao","Sim","Mulher","Sim",23,"Nao",0,0,"Desistente"
"Management (Noturno)",1,160,128.4,"Nao","Nao","Nao","Mulher","Nao",34,"Nao",5,10.4,"Graduado"
"Management",1,118,122.2,"Nao","Nao","Nao","Mulher","Nao",19,"Nao",3,10.6666666666667,"Graduado"
"Veterinary Nursing",1,122,113.3,"Sim","Nao","Nao","Mulher","Nao",18,"Nao",4,14.25,"Matriculado"
"Nursing",6,143,129.9,"Nao","Nao","Nao","Mulher","Sim",20,"Nao",7,13.9142857142857,"Graduado"
"Nursing",6,133,126.2,"Sim","Nao","Nao","Mulher","Nao",19,"Nao",7,13.7611111111111,"Graduado"
"Basic Education",2,122,112.6,"Sim","Nao","Nao","Mulher","Nao",22,"Nao",5,12.6,"Matriculado"
"Social Service",1,164,149,"Sim","Nao","Nao","Mulher","Sim",23,"Nao",6,13.8571428571429,"Graduado"
"Nursing",1,133.1,120,"Nao","Nao","Nao","Homem","Sim",34,"Nao",7,13.8428571428571,"Graduado"
"Informatics Engineering",4,127,120.4,"Sim","Nao","Sim","Homem","Nao",18,"Nao",0,0,"Matriculado"
"Journalism and Communication",3,140,128.1,"Sim","Sim","Nao","Homem","Nao",21,"Nao",5,11.8,"Desistente"
"Social Service",1,127,141.7,"Sim","Nao","Nao","Homem","Nao",22,"Nao",6,12.6666666666667,"Desistente"
"Agronomy",1,133.1,130,"Nao","Nao","Nao","Homem","Nao",28,"Nao",0,0,"Desistente"
"Informatics Engineering",4,115,113.3,"Sim","Nao","Nao","Homem","Nao",23,"Nao",0,0,"Desistente"
"Journalism and Communication",1,108,105.9,"Nao","Nao","Nao","Homem","Nao",20,"Nao",4,10.75,"Desistente"
"Informatics Engineering",2,136,122.7,"Sim","Nao","Nao","Homem","Nao",18,"Nao",5,12.6,"Desistente"
"Management",2,133.1,120,"Sim","Nao","Sim","Homem","Nao",28,"Nao",0,0,"Desistente"
"Communication Design",1,120,119.8,"Nao","Nao","Nao","Homem","Nao",21,"Nao",2,12,"Desistente"
"Advertising and Marketing Management",1,133.1,122.9,"Nao","Nao","Sim","Homem","Nao",25,"Nao",3,14,"Desistente"
"Veterinary Nursing",1,160,160,"Sim","Sim","Nao","Homem","Nao",19,"Nao",6,14,"Desistente"
"Nursing",4,128,125.2,"Sim","Nao","Nao","Homem","Sim",18,"Nao",7,14.6828571428571,"Graduado"
"Informatics Engineering",1,130,143.4,"Nao","Nao","Nao","Homem","Nao",29,"Nao",0,0,"Desistente"
"Informatics Engineering",1,133.1,96.7,"Nao","Nao","Nao","Homem","Sim",29,"Nao",0,0,"Desistente"
"Tourism",1,137,126.9,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,13.8571428571429,"Graduado"
"Animation and Multimedia Design",1,163,143.1,"Nao","Nao","Nao","Homem","Nao",18,"Nao",0,0,"Graduado"
"Tourism",1,125,114.5,"Nao","Nao","Nao","Homem","Nao",20,"Nao",6,13.1428571428571,"Graduado"
"Informatics Engineering",1,120,140,"Sim","Nao","Nao","Homem","Nao",33,"Nao",1,18,"Desistente"
"Management (Noturno)",1,150,113.7,"Nao","Nao","Nao","Homem","Nao",30,"Nao",13,11.4615384615385,"Graduado"
"Oral Hygiene",1,135,131.5,"Nao","Nao","Nao","Homem","Sim",21,"Nao",5,11.2,"Matriculado"
"Agronomy",1,148,143.5,"Nao","Nao","Sim","Homem","Nao",18,"Nao",5,15,"Graduado"
"Nursing",1,138,126.8,"Nao","Nao","Nao","Homem","Sim",19,"Nao",7,14.2444444444444,"Graduado"
"Communication Design",1,119,115.2,"Nao","Nao","Nao","Homem","Sim",21,"Nao",4,11.5,"Desistente"
"Oral Hygiene",2,130,100,"Nao","Nao","Nao","Homem","Sim",25,"Nao",2,10,"Desistente"
"Advertising and Marketing Management",2,135,121.4,"Nao","Nao","Nao","Homem","Nao",19,"Nao",3,12.3333333333333,"Graduado"
"Communication Design",1,120,120,"Sim","Nao","Nao","Homem","Nao",23,"Nao",5,12.2,"Desistente"
"Communication Design",2,126,129.9,"Sim","Nao","Nao","Homem","Sim",19,"Nao",6,13.6666666666667,"Graduado"
"Animation and Multimedia Design",1,149,151.1,"Sim","Nao","Nao","Homem","Nao",19,"Nao",0,0,"Graduado"
"Agronomy",1,110,120,"Nao","Nao","Sim","Homem","Nao",31,"Nao",1,11,"Desistente"
"Agronomy",1,133.1,130,"Nao","Nao","Sim","Homem","Nao",32,"Nao",3,13,"Desistente"
"Nursing",2,127,119,"Sim","Nao","Nao","Mulher","Sim",19,"Nao",7,12.6,"Graduado"
"Journalism and Communication",1,120,122,"Sim","Nao","Nao","Mulher","Nao",34,"Nao",10,12.2,"Graduado"
"Journalism and Communication",6,136,129.7,"Sim","Nao","Nao","Mulher","Nao",21,"Nao",6,13.1666666666667,"Graduado"
